Y;X;Bed
-7.675617213;111.206648418;1307.5
-7.671304329;111.206630097;1594.4
-7.660534841;111.206742642;1873.9
-7.652355761;111.206803400;2126.1
-7.650534235;111.206824957;2154.3
-7.639138633;111.206932468;2420.0
-7.632072474;111.206983908;2646.3
-7.630271244;111.207010271;2685.2
-7.623063385;111.207120500;2743.3
-7.613860565;111.207616164;2659.9
-7.607960284;111.208736615;2417.1
-7.596417463;111.210666069;1976.0
-7.593756594;111.211378695;1867.0
-7.582597390;111.213653376;1417.2
-7.572444449;111.215510694;1220.9
-7.562281300;111.218005955;1058.7
-7.560945911;111.218364284;1026.7
-7.551621033;111.222542564;719.0
-7.549216672;111.224556867;646.2
-7.547505685;111.229778884;580.6
-7.547752956;111.235613067;503.6
-7.549721543;111.237178418;534.1
-7.562372129;111.240755815;585.3
-7.570151967;111.240881512;615.4
-7.595244921;111.239938760;1071.3
-7.607083227;111.239607450;1208.9
-7.629720773;111.238531437;1231.2
-7.644147684;111.236661808;1271.3
-7.664813150;111.235368191;1219.4
-7.668577932;111.235297643;1253.8
-7.693108871;111.234227066;914.6
-7.714466316;111.233669643;1099.0
-7.733187134;111.231577018;944.1
-7.745638619;111.230807680;806.9
-7.752344192;111.230720487;813.6
-7.763932386;111.229967248;691.6
-7.767715670;111.229886444;710.8
-7.771867614;111.229822987;686.5
-7.776072392;111.229780086;643.9
-7.777983314;111.229747442;654.1
-7.781910701;111.230679342;619.1
-7.783876729;111.231943330;603.0
-7.784885803;111.233543054;593.0
-7.783695252;111.238065927;593.4
-7.783150193;111.240670643;587.8
-7.780034701;111.244904667;571.4
-7.777821188;111.246863060;571.5
-7.774432410;111.249221775;531.6
-7.767353441;111.252474848;608.4
-7.765768430;111.252824836;625.4
-7.764502371;111.253169692;627.7
-7.760320199;111.254157332;628.7
-7.752902883;111.254511532;694.2
-7.742713350;111.254976413;728.6
-7.740823825;111.255025980;731.1
-7.733729001;111.255012176;805.3
-7.723245099;111.255147901;852.6
-7.711548821;111.255383545;829.8
